Orthogroup	Capsella_rubella	Brassica_rapa
OG0000098	Carub.0002s0539.1.p	Bra003527
OG0000098	Carub.0003s1609.1.p	Bra021173, Bra027171
OG0000099	Carub.0001s0151.1.p	Bra032602
OG0000099	Carub.0006s1284.1.p	Bra008746
OG0000099	Carub.0007s3039.1.p	Bra007917
OG0000099	Carub.0004s2990.1.p, Carub.0005s2901.1.p, Carub.0004s2991.1.p, Carub.0001s1010.1.p	Bra027153
OG0000100	Carub.0003s3035.1.p	Bra014286, Bra012565, Bra010905
OG0000103	Carub.0006s2928.1.p, Carub.0006s2927.1.p, Carub.0006s2929.1.p	Bra033170
OG0000103	Carub.0006s2931.1.p	Bra037906
OG0000103	Carub.0001s3127.1.p	Bra023300, Bra023297
OG0000104	Carub.0004s2425.1.p	Bra004659, Bra016901
OG0000104	Carub.0004s2500.1.p	Bra004707
OG0000104	Carub.0006s1060.1.p	Bra014070, Bra014188, Bra014215, Bra015604
OG0000104	Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p	Bra004684
OG0000106	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p	Bra022489
OG0000106	Carub.0002s1057.1.p, Carub.0002s1060.1.p	Bra040199, Bra040200
OG0000106	Carub.0002s1061.1.p	Bra022491
OG0000106	Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p	Bra029304, Bra029303, Bra029299
OG0000108	Carub.0005s2130.1.p	Bra014798, Bra007090
OG0000108	Carub.0004s2097.1.p	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093
OG0000108	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487
OG0000108	Carub.0008s0523.1.p	Bra033676, Bra035981
OG0000109	Carub.0001s3978.1.p	Bra018874
OG0000110	Carub.0007s2466.1.p	Bra038504
OG0000110	Carub.0007s2465.1.p	Bra021082
OG0000110	Carub.0004s0348.1.p	Bra000568, Bra000727
OG0000110	Carub.0005s0364.1.p	Bra025164, Bra025163
OG0000113	Carub.0005s2571.1.p	Bra031480
OG0000114	Carub.0006s1688.1.p	Bra002171
OG0000114	Carub.0007s2614.1.p, Carub.0007s2612.1.p	Bra033499
OG0000114	Carub.0007s2610.1.p, Carub.0007s2603.1.p, Carub.0007s2605.1.p, Carub.0007s2607.1.p, Carub.0007s2608.1.p	Bra038076
OG0000114	Carub.0007s2611.1.p	Bra033503, Bra033501
OG0000115	Carub.0006s1599.1.p	Bra002103, Bra006418, Bra023635
OG0000115	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p	Bra024477, Bra037232
OG0000115	Carub.0005s1733.1.p	Bra038874
OG0000115	Carub.0005s1732.1.p	Bra036846, Bra012877
OG0000116	Carub.0008s2108.1.p	Bra014352
OG0000116	Carub.0006s2323.1.p	Bra038027, Bra020514, Bra020515, Bra020478
OG0000116	Carub.0006s0122.1.p, Carub.0006s0397.1.p	Bra005841
OG0000116	Carub.0006s0373.1.p	Bra028614
OG0000117	Carub.0004s2597.1.p	Bra004768
OG0000117	Carub.0004s2598.1.p	Bra000309
OG0000119	Carub.0004s2574.1.p	Bra004755
OG0000119	Carub.0005s2945.1.p	Bra012460
OG0000120	Carub.0001s0085.1.p	Bra032635
OG0000120	Carub.0006s3612.1.p	Bra037388, Bra008539, Bra000941
OG0000120	Carub.0008s1340.1.p	Bra022637, Bra029089, Bra026297
OG0000120	Carub.0004s2911.1.p	Bra004539, Bra039283
OG0000121	Carub.0002s2274.1.p	Bra015809
OG0000121	Carub.0002s0817.1.p	Bra025396
OG0000121	Carub.0002s1189.1.p	Bra008225
OG0000121	Carub.0002s2271.1.p, Carub.0002s2269.1.p, Carub.0002s2270.1.p, Carub.0002s2268.1.p, Carub.0002s2273.1.p, Carub.0002s2272.1.p, Carub.0007s3201.1.p	Bra015811
OG0000123	Carub.0005s2737.1.p, Carub.0004s2779.1.p	Bra003310, Bra000376
OG0000123	Carub.0007s2497.1.p	Bra040738, Bra012710
OG0000123	Carub.0003s2690.1.p	Bra013172
OG0000123	Carub.0006s3246.1.p	Bra029509
OG0000123	Carub.0007s1936.1.p	Bra013578, Bra019407
OG0000125	Carub.0004s0420.1.p, Carub.0004s0422.1.p	Bra000735, Bra032069
OG0000125	Carub.0004s0423.1.p, Carub.0004s0427.1.p, Carub.0004s0430.1.p	Bra032068
OG0000125	Carub.0004s0352.1.p, Carub.0004s0353.1.p, Carub.0004s0356.1.p, Carub.0004s0354.1.p, Carub.0004s0357.1.p, Carub.0004s0426.1.p	Bra032065, Bra032064
OG0000126	Carub.0007s3394.1.p, Carub.0007s3395.1.p	Bra027823, Bra027162
OG0000129	Carub.0001s3616.1.p	Bra023232, Bra029851
OG0000129	Carub.0003s1632.1.p	Bra021260
