Orthogroup	Capsella_rubella	Thellungiella_parvula
OG0000123	Carub.0004s2779.1.p	Sp4g27220.1, SpUn0031_0100.1
OG0000123	Carub.0007s2497.1.p	Sp7g15090.1
OG0000123	Carub.0003s2690.1.p	Sp3g24090.1
OG0000123	Carub.0002s0298.1.p	Sp2g02520.1
OG0000123	Carub.0007s1936.1.p	Sp7g20170.1
OG0000125	Carub.0004s0423.1.p, Carub.0004s0427.1.p, Carub.0004s0430.1.p, Carub.0004s0352.1.p, Carub.0004s0353.1.p, Carub.0004s0356.1.p, Carub.0004s0354.1.p, Carub.0004s0357.1.p, Carub.0004s0426.1.p	Sp4g03230.1, Sp4g03220.1
OG0000128	Carub.0006s1027.1.p, Carub.0006s1026.1.p, Carub.0006s1025.1.p	Sp3g03510.1
OG0000129	Carub.0001s3616.1.p	Sp5g16370.1, Sp1g27690.1
OG0000130	Carub.0001s3392.1.p	Sp4g08820.1
OG0000132	Carub.0003s3248.1.p	SpUn0030_0110.1, Sp3g31720.1
OG0000132	Carub.0007s0376.1.p	Sp7g34210.1
OG0000132	Carub.0001s1908.1.p	Sp1g17380.1
OG0000132	Carub.0002s2207.1.p	Sp5g30410.1
OG0000132	Carub.0004s0070.1.p	Sp4g00810.1
OG0000133	Carub.0002s1763.1.p	Sp5g26020.1
OG0000133	Carub.0002s1761.1.p, Carub.0002s1762.1.p	Sp5g26010.1
OG0000133	Carub.0002s1766.1.p	Sp5g26030.1
OG0000134	Carub.0008s0650.1.p	Sp2g11320.1
OG0000134	Carub.0008s0142.1.p, Carub.0008s0139.1.p	Sp2g11310.1
OG0000134	Carub.0008s0143.1.p	Sp3g28820.1
OG0000135	Carub.0003s2224.1.p	Sp1g33820.1
OG0000137	Carub.0001s2763.1.p, Carub.0001s2772.1.p	Sp1g25370.1
OG0000137	Carub.0001s2773.1.p	Sp1g25430.1
OG0000137	Carub.0001s2766.1.p, Carub.0001s2768.1.p	Sp1g25360.1, Sp1g25450.1
